xCloud Website Traffic Analytics Report,,,,,,,,,,,,,,,,,,
January 2025 – May 2026,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
User acquisition by Channel | Monthly (Jan 2025 to May 2026),,,,,,,,,,,,,,,,,,
Organic Shopping,"18,916",3.28%,,,,,,,,,,,,,,,,
Display,"12,272",2.13%,,,,,,,,,,,,,,,,
Mobile Push Notifications,"4,609",0.80%,,,,,,,,,,,,,,,,
Cross-network,"4,599",0.80%,,,,,,,,,,,,,,,,
Total,"575,884",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Search Performance  (Google Search Console),,,,,,,,,,,,,,,,,,
,,Google had been over-reporting impression data over a year and released a fix in April. (Nothing wrong in our end),,,,,,,,,,,,,,,,
Metric,Jan'25,Feb'25,Mar'25,Apr'25,May'25,Jun'25,Jul'25,Aug'25,Sep'25,Oct'25,Nov'25,Dec'25,Jan'26,Feb'26,Mar'26,Apr'26,May'26,
Clicks,"2,317","2,626","4,051","3,396","3,557","4,625","4,057","3,678","5,653","5,405","7,780","11,691","26,631","12,254","10,280","8,478","6,989",
Impressions,"186,408","204,914","287,549","323,584","411,215","429,218","418,507","460,133","695,372","747,871","846,995","1,449,521","3,635,287","1,398,337","1,419,866","1,175,474","829,123",
CTR,1.24%,1.28%,1.41%,1.05%,0.86%,1.08%,0.97%,0.80%,0.81%,0.72%,0.92%,0.81%,0.73%,0.88%,0.72%,0.72%,0.84%,
Avg. position,30.2,29.6,31.4,30.1,29.8,34.7,33.3,30.4,17.7,11.0,11.4,19.1,23.6,19.3,12.2,14.9,16.0,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Search Performance Overview | Jan 2025 - May 2026  (Search Console),,,,,,,,,,,,,,,,,,
Metric,Value,,,,,,,,,,,,,,,,,
Total clicks,"121,000",,,,,,,,,,,,,,,,,
Total impressions,"14,700,000",,,,,,,,,,,,,,,,,
Average CTR,0.8%,,,,,,,,,,,,,,,,,
Average position,20.3,,,,,,,,,,,,,,,,,
